"","time","lat","lon","address","site_number","no2","o3","pm25","source","year","month","day","pm_diff"
"211","2022-02-10",32.4871,-97.04825,"Worth Court",99159,NA,NA,10.4425,"PurpleAir",2022,2,10,5.2165
"212","2022-02-11",32.4871,-97.04825,"Worth Court",99159,NA,NA,5.8505,"PurpleAir",2022,2,11,-4.592
"213","2022-02-12",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.201,"PurpleAir",2022,2,12,-3.6495
"214","2022-02-13",32.4871,-97.04825,"Worth Court",99159,NA,NA,6.5355,"PurpleAir",2022,2,13,4.3345
"215","2022-02-14",32.4871,-97.04825,"Worth Court",99159,NA,NA,2.423,"PurpleAir",2022,2,14,-4.1125
"216","2022-02-15",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.872,"PurpleAir",2022,2,15,2.449
"217","2022-02-16",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.2035,"PurpleAir",2022,2,16,-0.6685
"218","2022-02-17",32.4871,-97.04825,"Worth Court",99159,NA,NA,7.667,"PurpleAir",2022,2,17,3.4635
"219","2022-02-18",32.4871,-97.04825,"Worth Court",99159,NA,NA,8.036,"PurpleAir",2022,2,18,0.369000000000002
"220","2022-02-19",32.4871,-97.04825,"Worth Court",99159,NA,NA,11.78,"PurpleAir",2022,2,19,3.744
"221","2022-02-20",32.4871,-97.04825,"Worth Court",99159,NA,NA,4.041,"PurpleAir",2022,2,20,-7.739
